 N   Rel_err
          10   9.6750589128154728E-003
         100   3.0965375789043570E-004
        1000   9.7783024438530313E-006
       10000   2.8207600075340117E-007
      100000   1.8083088655524481E-008
     1000000   2.7519390979862075E-008
    10000000   2.7815601259349446E-008
   100000000   2.7828608314054821E-008
